Rank,Compound,ChEMBL_ID,Score,Phase,Aging_Targets,Lifespan_Pct,pChEMBL,Known_Geroprotector,Mechanisms,Sources
50,ERDAFITINIB,CHEMBL3545376,0.345,4,1,0.0,0.0,False,Fibroblast growth factor receptor inhibitor,open_targets
51,PEMIGATINIB,CHEMBL4297522,0.345,4,1,0.0,0.0,False,Fibroblast growth factor receptor 1 inhibitor,open_targets
52,INFIGRATINIB PHOSPHATE,CHEMBL1834657,0.345,4,1,0.0,0.0,False,Fibroblast growth factor receptor inhibitor,open_targets
53,INSULIN DETEMIR,CHEMBL2104391,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
54,INSULIN ASPART,CHEMBL1201496,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
55,INSULIN LISPRO,CHEMBL1201538,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
56,INSULIN GLULISINE,CHEMBL1201613,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
57,INSULIN HUMAN,CHEMBL1201631,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
58,INSULIN PURIFIED BEEF,CHEMBL1201629,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
59,INSULIN PURIFIED PORK,CHEMBL1201630,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
60,INSULIN DEGLUDEC,CHEMBL2107869,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
61,"INSULIN HUMAN, ISOPHANE",CHEMBL2108973,0.345,4,1,0.0,0.0,False,Insulin receptor agonist,open_targets
62,LENVATINIB,CHEMBL1289601,0.345,4,1,0.0,0.0,False,Vascular endothelial growth factor receptor inhibitor,open_targets
63,SUNITINIB,CHEMBL535,0.345,4,1,0.0,0.0,False,Macrophage colony stimulating factor receptor inhibitor,open_targets
64,AXITINIB,CHEMBL1289926,0.345,4,1,0.0,0.0,False,Vascular endothelial growth factor receptor inhibitor,open_targets
65,SUNITINIB MALATE,CHEMBL1567,0.345,4,1,0.0,0.0,False,Macrophage colony stimulating factor receptor inhibitor,open_targets
66,LENVATINIB MESYLATE,CHEMBL2105704,0.345,4,1,0.0,0.0,False,Vascular endothelial growth factor receptor inhibitor,open_targets
67,VANDETANIB,CHEMBL24828,0.345,4,1,0.0,0.0,False,Tyrosine-protein kinase BRK inhibitor,open_targets
68,SORAFENIB TOSYLATE,CHEMBL1200485,0.345,4,1,0.0,0.0,False,Platelet-derived growth factor receptor beta inhibitor,open_targets
69,TIVOZANIB HYDROCHLORIDE,CHEMBL2105756,0.345,4,1,0.0,0.0,False,Platelet-derived growth factor receptor beta inhibitor,open_targets
70,FRUQUINTINIB,CHEMBL4303214,0.345,4,1,0.0,0.0,False,Vascular endothelial growth factor receptor inhibitor,open_targets
71,OBLIMERSEN SODIUM,CHEMBL2109229,0.3384,3,1,0.0,0.0,False,Bcl-2 mRNA antisense inhibitor,open_targets
72,IDASANUTLIN,CHEMBL2402737,0.335,3,1,0.0,0.0,False,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,open_targets
73,LINSITINIB,CHEMBL1091644,0.335,3,1,0.0,0.0,False,Insulin receptor inhibitor,open_targets
74,SIRUKUMAB,CHEMBL1743071,0.3317,3,1,0.0,0.0,False,Interleukin-6 inhibitor,open_targets
75,FIGITUMUMAB,CHEMBL1743019,0.3317,3,1,0.0,0.0,False,Insulin-like growth factor I receptor antagonist,open_targets
76,CIXUTUMUMAB,CHEMBL1743001,0.3284,2,1,0.0,0.0,False,Insulin-like growth factor I receptor antagonist,open_targets
77,IMETELSTAT,CHEMBL2107856,0.3283,3,1,0.0,0.0,False,Telomerase reverse transcriptase inhibitor,open_targets
78,SORAFENIB,CHEMBL1336,0.325,3,1,0.0,0.0,False,Platelet-derived growth factor receptor beta inhibitor,open_targets
79,PICTILISIB,CHEMBL521851,0.323,2,1,9.6,0.0,False,PI3-kinase class I inhibitor,open_targets; drugage
80,SAPANISERTIB,CHEMBL3545097,0.3183,2,1,0.0,0.0,False,Serine/threonine-protein kinase mTOR inhibitor,open_targets
81,NAVTEMADLIN,CHEMBL3125702,0.3083,2,1,0.0,0.0,False,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,open_targets
82,ACADESINE,CHEMBL1551724,0.295,3,1,0.0,0.0,False,"AMP-activated protein kinase, AMPK activator",open_targets
83,EPRENETAPOPT,CHEMBL3186011,0.295,3,1,0.0,0.0,False,Cellular tumor antigen p53 stabiliser,open_targets
84,OLOKIZUMAB,CHEMBL1743050,0.295,3,1,0.0,0.0,False,Interleukin-6 inhibitor,open_targets
85,OBATOCLAX,CHEMBL408194,0.295,3,1,0.0,0.0,False,Induced myeloid leukemia cell differentiation protein Mcl-1 inhibitor,open_targets
86,OBATOCLAX MESYLATE,CHEMBL2107358,0.295,3,1,0.0,0.0,False,Induced myeloid leukemia cell differentiation protein Mcl-1 inhibitor,open_targets
87,TOMINERSEN,CHEMBL4297581,0.295,3,1,0.0,0.0,False,Huntingtin mRNA antisense inhibitor,open_targets
