Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
GO_BP,Regulation Of Protein Localization To Plasma Membrane (GO:1903076),2.314479e-04,1.750219e-03,240.30,3,PIK3R1; EPHB2; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
Reactome,Signaling By NTRK3 (TRKC) R-HSA-9034015,2.576160e-04,1.987323e-03,841.41,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902254),2.576160e-04,1.920073e-03,841.41,2,BCL2; SIRT1,Resveratrol; VENETOCLAX,Yes
GO_BP,Mitophagy (GO:0000423),2.576160e-04,1.920073e-03,841.41,2,BECN1; MAP1LC3B,Spermidine,No
KEGG,Human immunodeficiency virus 1 infection,2.709082e-04,9.067132e-04,120.06,4,RPS6KB1; BCL2; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; VENETOCLAX,No
GO_BP,Positive Regulation Of Endothelial Cell Migration (GO:0010595),2.768365e-04,2.048590e-03,220.76,3,ABL1; SIRT1; FGFR1,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Resveratrol,No
Reactome,Signaling By FGFR R-HSA-190236,2.865530e-04,2.155234e-03,217.18,3,SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
Reactome,GAB1 Signalosome R-HSA-180292,2.916929e-04,2.155234e-03,773.48,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),2.916929e-04,2.069821e-03,773.48,2,SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol,Yes
GO_BP,Regulation Of Receptor Signaling Pathway Via STAT (GO:1904892),2.916929e-04,2.069821e-03,773.48,2,IL6; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; SILTUXIMAB,No
GO_BP,Regulation Of Tubulin Deacetylation (GO:0090043),2.916929e-04,2.069821e-03,773.48,2,PRKAA1; PRKAA2,Metformin,No
GO_BP,Embryo Development Ending In Birth Or Egg Hatching (GO:0009792),2.916929e-04,2.069821e-03,773.48,2,RICTOR; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
GO_BP,Growth Hormone Receptor Signaling Pathway (GO:0060396),2.916929e-04,2.069821e-03,773.48,2,GHR; PIK3R1,DACTOLISIB; GEDATOLISIB; SOMATROPIN,Yes
GO_BP,Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758),2.916929e-04,2.069821e-03,773.48,2,PRKAA1; PRKAA2,Metformin,No
Reactome,Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,2.964873e-04,2.155234e-03,213.68,3,SRC; ABL1; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Cellular Response To Oxygen-Containing Compound (GO:1901701),3.153573e-04,2.221199e-03,78.68,5,RPTOR; IL6; PRKAA1; PRKAA2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin; SILTUXIMAB,No
KEGG,PD-L1 expression and PD-1 checkpoint pathway in cancer,3.170178e-04,1.039818e-03,206.97,3,RPS6KB1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Positive Regulation Of Cell Motility (GO:2000147),3.173141e-04,2.221199e-03,112.81,4,FLT1; EPHB2; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
KEGG,Hypertrophic cardiomyopathy,3.276183e-04,1.053518e-03,203.75,3,IL6; PRKAA1; PRKAA2,Metformin; SILTUXIMAB,No
Reactome,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,3.276183e-04,2.294942e-03,203.75,3,PRKAA1; STK11; PRKAA2,Metformin,Yes
GO_BP,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),3.276183e-04,2.234549e-03,203.75,3,GHR; IL6; SRC,Dasatinib; SILTUXIMAB; SOMATROPIN,No
Reactome,Ephrin Signaling R-HSA-3928664,3.278488e-04,2.294942e-03,714.69,2,SRC; EPHB2,Dasatinib,No
GO_BP,Negative Regulation Of Lipid Storage (GO:0010888),3.278488e-04,2.234549e-03,714.69,2,IL6; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; SILTUXIMAB,No
GO_BP,Autophagy Of Nucleus (GO:0044804),3.278488e-04,2.234549e-03,714.69,2,ULK1; ATG5,Spermidine,Yes
GO_BP,Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902175),3.278488e-04,2.234549e-03,714.69,2,SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol,Yes
Reactome,EPH-Ephrin Signaling R-HSA-2682334,3.384449e-04,2.326040e-03,200.61,3,SRC; EPHB2; EPHA2,Dasatinib,No
GO_BP,Positive Regulation Of MAP Kinase Activity (GO:0043406),3.384449e-04,2.291692e-03,200.61,3,GHR; FLT1; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SOMATROPIN,No
GO_BP,B Cell Activation (GO:0042113),3.494999e-04,2.351181e-03,197.54,3,BCL2; PIK3R1; EPHB2,DACTOLISIB; Dasatinib; GEDATOLISIB; VENETOCLAX,No
Reactome,Signaling By KIT In Disease R-HSA-9669938,3.660780e-04,2.471026e-03,663.37,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Protein-Containing Complex Disassembly (GO:0043244),3.660780e-04,2.446818e-03,663.37,2,IGF1R; ATG5,MECASERMIN; Spermidine,No
GO_BP,Positive Regulation Of Epithelial Cell Migration (GO:0010634),3.840550e-04,2.539161e-03,188.81,3,SRC; ABL1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,No
GO_BP,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),3.847956e-04,2.539161e-03,48.94,7,IL6; NAMPT; ABL1; PPARG; PIK3R1; SIRT1; NFE2L2,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; ROSIGLITAZONE; Resveratrol; SILTUXIMAB,No
Reactome,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,3.848344e-04,2.552060e-03,73.38,5,SRC; RICTOR; PIK3R1; MTOR; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,No
GO_BP,Positive Regulation Of Phospholipase Activity (GO:0010518),4.063745e-04,2.647824e-03,618.21,2,FLT1; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Protein Deacylation (GO:0035601),4.063745e-04,2.647824e-03,618.21,2,SIRT1; SIRT3,Resveratrol,No
KEGG,Choline metabolism in cancer,4.207381e-04,1.326943e-03,180.70,3,RPS6KB1; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of Cell Migration (GO:0030334),4.281371e-04,2.772187e-03,70.66,5,FLT1; SRC; EPHB2; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
Reactome,Cellular Response To Heat Stress R-HSA-3371556,4.334481e-04,2.777006e-03,178.12,3,RPTOR; SIRT1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol,No
Reactome,L1CAM Interactions R-HSA-373760,4.334481e-04,2.777006e-03,178.12,3,SRC; EPHB2; FGFR1,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
Reactome,Infectious Disease R-HSA-5663205,4.454443e-04,2.780670e-03,46.81,7,BECN1; IL6; GANAB; MAP1LC3B; SRC; ABL1; NFE2L2,Acarbose; BARDOXOLONE METHYL; Dasatinib; SILTUXIMAB; Spermidine,No
KEGG,AGE-RAGE signaling pathway in diabetic complications,4.464025e-04,1.381321e-03,175.61,3,IL6; BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB; VENETOCLAX,No
Reactome,PI-3K cascade:FGFR1 R-HSA-5654689,4.487324e-04,2.780670e-03,578.21,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Positive Regulation Of Translational Initiation (GO:0045948),4.487324e-04,2.869671e-03,578.21,2,RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of Anoikis (GO:2000209),4.487324e-04,2.869671e-03,578.21,2,SRC; BCL2,Dasatinib; VENETOCLAX,No
Reactome,PINK1-PRKN Mediated Mitophagy R-HSA-5205685,4.931459e-04,3.006599e-03,542.55,2,MAP1LC3B; ATG5,Spermidine,No
GO_BP,Positive Regulation Of Cholesterol Efflux (GO:0010875),4.931459e-04,3.134351e-03,542.55,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
KEGG,C-type lectin receptor signaling pathway,5.007044e-04,1.520658e-03,166.11,3,IL6; SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB; SILTUXIMAB,No
GO_BP,Intrinsic Apoptotic Signaling Pathway (GO:0097193),5.149107e-04,3.233015e-03,163.87,3,STK11; BCL2; EPHA2,Dasatinib; Metformin; VENETOCLAX,No
GO_BP,Negative Regulation Of MAPK Cascade (GO:0043409),5.149107e-04,3.233015e-03,163.87,3,PPARG; EPHB2; IGF1R,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; MECASERMIN; ROSIGLITAZONE,No
Reactome,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",5.293731e-04,3.164114e-03,161.68,3,SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
Reactome,Signaling By NTRK2 (TRKB) R-HSA-9006115,5.396092e-04,3.164114e-03,510.58,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Negative Regulation Of Oxidative Stress-Induced Cell Death (GO:1903202),5.396092e-04,3.327590e-03,510.58,2,SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol,Yes
GO_BP,Cellular Response To Interleukin-6 (GO:0071354),5.396092e-04,3.327590e-03,510.58,2,IL6; SRC,Dasatinib; SILTUXIMAB,No
GO_BP,Long-Chain Fatty Acid Transport (GO:0015909),5.396092e-04,3.327590e-03,510.58,2,RPS6KB1; PPARG,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Rapamycin,No
KEGG,Glucagon signaling pathway,5.440937e-04,1.622389e-03,159.53,3,PRKAA1; PRKAA2; SIRT1,Metformin; Resveratrol,No
Reactome,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,5.440937e-04,3.164114e-03,159.53,3,IL6; BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB; VENETOCLAX,No
GO_BP,Regulation Of Cellular Response To Stress (GO:0080135),5.440937e-04,3.335391e-03,159.53,3,SIRT1; MTOR; NFE2L2,BARDOXOLONE METHYL; DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol,No
GO_BP,Positive Regulation Of Translation (GO:0045727),5.590743e-04,3.399603e-03,157.43,3,IL6; RPS6KB1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB,No
GO_BP,Cytokine-Mediated Signaling Pathway (GO:0019221),5.611314e-04,3.399603e-03,89.75,4,GHR; IL6; SRC; SIRT1,Dasatinib; Resveratrol; SILTUXIMAB; SOMATROPIN,No
Reactome,Signaling By Nuclear Receptors R-HSA-9006931,5.861233e-04,3.318030e-03,88.17,4,SRC; BCL2; PIK3R1; IGF1R,DACTOLISIB; Dasatinib; GEDATOLISIB; MECASERMIN; VENETOCLAX,No
Reactome,RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973,5.881164e-04,3.318030e-03,481.77,2,SRC; ABL1,Dasatinib,No
GO_BP,Positive Regulation Of Lipid Metabolic Process (GO:0045834),5.881164e-04,3.542375e-03,481.77,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015),6.055954e-04,3.626571e-03,151.40,3,STK11; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; Metformin; ROSIGLITAZONE; Resveratrol,No
Reactome,Cellular Responses To Stress R-HSA-2262752,6.129671e-04,3.407376e-03,49.73,6,RPTOR; IL6; MAP1LC3B; SIRT1; MTOR; NFE2L2,BARDOXOLONE METHYL; DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol; SILTUXIMAB; Spermidine,No
GO_BP,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),6.216351e-04,3.696388e-03,149.48,3,RPTOR; SRC; SIRT1,Dasatinib; Rapamycin; Resveratrol,No
Reactome,Negative Regulation Of PI3K/AKT Network R-HSA-199418,6.379443e-04,3.494825e-03,147.59,3,SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Positive Regulation Of Signal Transduction (GO:0009967),6.384710e-04,3.696388e-03,85.13,4,IL6; SRC; PIK3R1; SIRT1,DACTOLISIB; Dasatinib; GEDATOLISIB; Resveratrol; SILTUXIMAB,No
GO_BP,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230),6.386616e-04,3.696388e-03,455.69,2,BCL2; SIRT1,Resveratrol; VENETOCLAX,Yes
GO_BP,Negative Regulation Of Signaling Receptor Activity (GO:2000272),6.386616e-04,3.696388e-03,455.69,2,PPARG; EPHB2,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; ROSIGLITAZONE,No
GO_BP,Osteoclast Differentiation (GO:0030316),6.386616e-04,3.696388e-03,455.69,2,SRC; EPHA2,Dasatinib,No
GO_BP,Regulation Of Cell Size (GO:0008361),6.386616e-04,3.696388e-03,455.69,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,Pathways of neurodegeneration,6.453870e-04,1.890062e-03,60.95,5,BECN1; IL6; BCL2; ULK1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SILTUXIMAB; Spermidine; VENETOCLAX,No
Reactome,Cellular Responses To Stimuli R-HSA-8953897,6.781155e-04,3.596982e-03,48.07,6,RPTOR; IL6; MAP1LC3B; SIRT1; MTOR; NFE2L2,BARDOXOLONE METHYL; DACTOLISIB; GEDATOLISIB; Rapamycin; Resveratrol; SILTUXIMAB; Spermidine,No
Reactome,Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400,6.912392e-04,3.596982e-03,431.99,2,RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,Yes
Reactome,Signaling By ALK R-HSA-201556,6.912392e-04,3.596982e-03,431.99,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Transcription By RNA Polymerase III (GO:0006359),6.912392e-04,3.956485e-03,431.99,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Dendritic Spine Organization (GO:0097061),6.912392e-04,3.956485e-03,431.99,2,EPHB2; IGF1R,Dasatinib; MECASERMIN,No
Reactome,Innate Immune System R-HSA-168249,6.946553e-04,3.596982e-03,40.78,7,MGAM; SRC; GAA; BCL2; ABL1; PIK3R1; ATG5,Acarbose; DACTOLISIB; Dasatinib; GEDATOLISIB; Spermidine; VENETOCLAX,No
KEGG,"Growth hormone synthesis, secretion and action",7.415614e-04,2.096829e-03,137.05,3,GHR; PIK3R1; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin; SOMATROPIN,Yes
KEGG,Neurotrophin signaling pathway,7.415614e-04,2.096829e-03,137.05,3,BCL2; ABL1; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB; VENETOCLAX,No
Reactome,MAPK1/MAPK3 Signaling R-HSA-5684996,7.429502e-04,3.759050e-03,79.97,4,IL6; SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SILTUXIMAB,No
Reactome,VEGFR2 Mediated Vascular Permeability R-HSA-5218920,7.458432e-04,3.759050e-03,410.35,2,RICTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,Yes
GO_BP,Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand (GO:2001239),7.458432e-04,4.199421e-03,410.35,2,BCL2; FGFR1,NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; VENETOCLAX,No
GO_BP,Regulation Of Immunoglobulin Production (GO:0002637),7.458432e-04,4.199421e-03,410.35,2,IL6; EPHB2,Dasatinib; SILTUXIMAB,No
GO_BP,Cellular Response To Acid Chemical (GO:0071229),7.458432e-04,4.199421e-03,410.35,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,Thyroid hormone signaling pathway,7.783393e-04,2.163519e-03,133.81,3,SRC; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,No
KEGG,Herpes simplex virus 1 infection,7.988365e-04,2.183487e-03,56.36,5,IL6; SRC; BCL2; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin; SILTUXIMAB; VENETOCLAX,No
Reactome,Downstream Signal Transduction R-HSA-186763,8.024679e-04,3.991222e-03,390.54,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Lipid Biosynthetic Process (GO:0046890),8.024679e-04,4.411402e-03,390.54,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Cellular Response To Osmotic Stress (GO:0071470),8.024679e-04,4.411402e-03,390.54,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),8.024679e-04,4.411402e-03,390.54,2,FLT1; SRC,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Regulation Of Bone Resorption (GO:0045124),8.024679e-04,4.411402e-03,390.54,2,IL6; SRC,Dasatinib; SILTUXIMAB,No
GO_BP,Positive Regulation Of Cell Differentiation (GO:0045597),8.047829e-04,4.411402e-03,77.36,4,IL6; PPARG; MTOR; FGFR1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; Rapamycin; SILTUXIMAB,No
GO_BP,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),8.356545e-04,4.556516e-03,129.18,3,FLT1; FGFR1; EPHA2,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Negative Regulation Of Cell Growth (GO:0030308),8.553396e-04,4.622318e-03,127.69,3,STK11; ULK1; SIRT1,Metformin; Resveratrol; Spermidine,No
Reactome,Developmental Biology R-HSA-1266738,8.602294e-04,4.222944e-03,38.09,7,SRC; ABL1; PPARG; PIK3R1; EPHB2; FGFR1; EPHA2,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE,No
GO_BP,Positive Regulation Of B Cell Proliferation (GO:0030890),8.611075e-04,4.622318e-03,372.34,2,BCL2; EPHB2,Dasatinib; VENETOCLAX,No
GO_BP,Lipid Droplet Organization (GO:0034389),8.611075e-04,4.622318e-03,372.34,2,PRKAA1; PRKAA2,Metformin,No
Reactome,Downstream Signaling Of Activated FGFR1 R-HSA-5654687,9.217562e-04,4.410429e-03,355.56,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
Reactome,FGFR1 Mutant Receptor Activation R-HSA-1839124,9.217562e-04,4.410429e-03,355.56,2,PIK3R1; FGFR1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Regulation Of Vasculature Development (GO:1901342),9.217562e-04,4.897125e-03,355.56,2,IL6; EPHA2,Dasatinib; SILTUXIMAB,No
GO_BP,Response To Amino Acid (GO:0043200),9.217562e-04,4.897125e-03,355.56,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
KEGG,MAPK signaling pathway,9.274783e-04,2.493548e-03,72.91,4,FLT1; FGFR1; EPHA2; IGF1R,Dasatinib; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),9.581930e-04,5.064734e-03,120.66,3,SRC; PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; Dasatinib; ROSIGLITAZONE; Resveratrol,No
KEGG,Circadian rhythm,9.844084e-04,2.562587e-03,340.05,2,PRKAA1; PRKAA2,Metformin,No
KEGG,Galactose metabolism,9.844084e-04,2.562587e-03,340.05,2,MGAM; GAA,Acarbose,No
Reactome,RUNX2 Regulates Bone Development R-HSA-8941326,9.844084e-04,4.651330e-03,340.05,2,SRC; ABL1,Dasatinib,No
GO_BP,Positive Regulation Of Cholesterol Transport (GO:0032376),9.844084e-04,5.150743e-03,340.05,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
GO_BP,Positive Regulation Of Lamellipodium Organization (GO:1902745),9.844084e-04,5.150743e-03,340.05,2,SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Regulation Of Cholesterol Efflux (GO:0010874),1.049058e-03,5.407086e-03,325.68,2,PPARG; SIRT1,BARDOXOLONE METHYL; BEZAFIBRATE; ROSIGLITAZONE; Resveratrol,No
GO_BP,Negative Regulation Of Fat Cell Differentiation (GO:0045599),1.049058e-03,5.407086e-03,325.68,2,IL6; SIRT1,Resveratrol; SILTUXIMAB,No
GO_BP,Phosphatidylinositol 3-Kinase Signaling (GO:0014065),1.049058e-03,5.407086e-03,325.68,2,PIK3R1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN,No
KEGG,Huntington disease,1.075805e-03,2.756750e-03,68.48,4,BECN1; PPARG; ULK1; MTOR,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; ROSIGLITAZONE; Rapamycin; Spermidine,No
GO_BP,Cellular Response To Cytokine Stimulus (GO:0071345),1.102056e-03,5.652128e-03,67.78,4,GHR; IL6; SIRT1; NFE2L2,BARDOXOLONE METHYL; Resveratrol; SILTUXIMAB; SOMATROPIN,No
KEGG,Yersinia infection,1.114898e-03,2.770353e-03,111.83,3,IL6; SRC; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB; SILTUXIMAB,No
KEGG,Estrogen signaling pathway,1.114898e-03,2.770353e-03,111.83,3,SRC; BCL2; PIK3R1,DACTOLISIB; Dasatinib; GEDATOLISIB; VENETOCLAX,No
Reactome,Negative Regulation Of FGFR1 Signaling R-HSA-5654726,1.115700e-03,5.206599e-03,312.33,2,SRC; FGFR1,Dasatinib; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,Yes
GO_BP,Regulation Of Lamellipodium Assembly (GO:0010591),1.115700e-03,5.685889e-03,312.33,2,PIK3R1; EPHA2,DACTOLISIB; Dasatinib; GEDATOLISIB,No
GO_BP,Negative Regulation Of Cellular Process (GO:0048523),1.119615e-03,5.685889e-03,49.65,5,IL6; STK11; ULK1; EPHB2; SIRT1,Dasatinib; Metformin; Resveratrol; SILTUXIMAB; Spermidine,No
KEGG,Measles,1.162465e-03,2.845438e-03,109.50,3,IL6; BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; SILTUXIMAB; VENETOCLAX,No
Reactome,PTEN Regulation R-HSA-6807070,1.162465e-03,5.358682e-03,109.50,3,RPTOR; PPARG; MTOR,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; ROSIGLITAZONE; Rapamycin,No
GO_BP,Regulation Of Phosphatidylinositol 3-Kinase Activity (GO:0043551),1.184328e-03,5.956134e-03,299.90,2,FLT1; PIK3R1,DACTOLISIB; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB,No
GO_BP,Positive Regulation Of Immunoglobulin Production (GO:0002639),1.184328e-03,5.956134e-03,299.90,2,IL6; EPHB2,Dasatinib; SILTUXIMAB,No
KEGG,Apoptosis,1.236194e-03,2.981408e-03,106.14,3,BECN1; BCL2; PIK3R1,DACTOLISIB; GEDATOLISIB; Spermidine; VENETOCLAX,Yes
Reactome,MAPK Family Signaling Cascades R-HSA-5683057,1.240119e-03,5.647773e-03,64.45,4,IL6; SRC; PIK3R1; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; SILTUXIMAB,No
GO_BP,Cellular Response To Amino Acid Stimulus (GO:0071230),1.254936e-03,6.250548e-03,288.30,2,RPTOR; MTOR,DACTOLISIB; GEDATOLISIB; Rapamycin,No
GO_BP,Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:0072332),1.254936e-03,6.250548e-03,288.30,2,STK11; SIRT1,Metformin; Resveratrol,Yes
