Database,Pathway,P-value,Adjusted P-value,Combined Score,N Genes Overlap,Genes,Compostos Associados,Aging Related
Reactome,PIP3 Activates AKT Signaling R-HSA-1257604,1.121982e-07,4.241090e-06,367.79,7,RPTOR; SRC; PPARG; RICTOR; PIK3R1; MTOR; FGFR1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; Rapamycin,Yes
KEGG,ErbB signaling pathway,1.613195e-07,1.889742e-06,777.69,5,RPS6KB1; SRC; ABL1; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,No
GO_BP,Positive Regulation Of Small Molecule Metabolic Process (GO:0062013),1.632408e-07,5.284920e-06,1653.26,4,RPTOR; PRKAA1; PRKAA2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
Reactome,RNA Polymerase II Transcription R-HSA-73857,1.724997e-07,5.821645e-06,149.10,12,RPTOR; IL6; PRKAA1; STK11; PRKAA2; SRC; ABL1; PPARG; RICTOR; SIRT1; MTOR; SIRT3,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; ROSIGLITAZONE; Rapamycin; Resveratrol; SILTUXIMAB,No
Reactome,CD28 Co-Stimulation R-HSA-389356,1.848141e-07,5.821645e-06,1585.37,4,SRC; RICTOR; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; Rapamycin,No
GO_BP,Positive Regulation Of Carbohydrate Metabolic Process (GO:0045913),1.848141e-07,5.802043e-06,1585.37,4,RPTOR; PRKAA1; PRKAA2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
Reactome,Intracellular Signaling By Second Messengers R-HSA-9006925,2.758278e-07,8.020225e-06,302.41,7,RPTOR; SRC; PPARG; RICTOR; PIK3R1; MTOR; FGFR1,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; ROSIGLITAZONE; Rapamycin,No
KEGG,Prostate cancer,3.130072e-07,3.422212e-06,647.20,5,BCL2; PIK3R1; MTOR; FGFR1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin; VENETOCLAX,No
GO_BP,Cellular Response To Insulin Stimulus (GO:0032869),3.466562e-07,9.892006e-06,629.05,5,RPS6KB1; NAMPT; PPARG; PIK3R1; IGF1R,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; GEDATOLISIB; MECASERMIN; ROSIGLITAZONE; Rapamycin; Resveratrol,No
GO_BP,Regulation Of Glycolytic Process (GO:0006110),3.619370e-07,9.892006e-06,1263.49,4,RPTOR; PRKAA1; PRKAA2; MTOR,DACTOLISIB; GEDATOLISIB; Metformin; Rapamycin,No
GO_BP,Regulation Of Peptidyl-Lysine Acetylation (GO:2000756),3.628342e-07,9.892006e-06,4699.01,3,PRKAA1; PRKAA2; SIRT1,Metformin; Resveratrol,No
GO_BP,Fatty Acid Homeostasis (GO:0055089),3.628342e-07,9.892006e-06,4699.01,3,PRKAA1; PRKAA2; SIRT1,Metformin; Resveratrol,No
GO_BP,Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0048009),3.628342e-07,9.892006e-06,4699.01,3,GHR; PIK3R1; IGF1R,DACTOLISIB; GEDATOLISIB; MECASERMIN; SOMATROPIN,No
GO_BP,Positive Regulation Of Gene Expression (GO:0010628),3.819490e-07,1.014613e-05,221.99,8,IL6; PRKAA1; RPS6KB1; PPARG; PIK3R1; EPHB2; MTOR; NFE2L2,BARDOXOLONE METHYL; BEZAFIBRATE; DACTOLISIB; Dasatinib; GEDATOLISIB; Metformin; ROSIGLITAZONE; Rapamycin; SILTUXIMAB,No
Reactome,Signaling By VEGF R-HSA-194138,4.024343e-07,1.086572e-05,603.39,5,FLT1; SRC; RICTOR; PIK3R1; MTOR,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,Yes
GO_BP,Cellular Response To Glucose Starvation (GO:0042149),4.423623e-07,1.120403e-05,1180.68,4,BECN1; PRKAA1; PRKAA2; SIRT1,Metformin; Resveratrol; Spermidine,No
GO_BP,Macroautophagy (GO:0016236),4.434026e-07,1.120403e-05,587.25,5,BECN1; MAP1LC3B; SRC; ULK1; ATG5,Dasatinib; Spermidine,Yes
Reactome,PI3K/AKT Signaling In Cancer R-HSA-2219528,4.650873e-07,1.172020e-05,579.45,5,SRC; RICTOR; PIK3R1; MTOR; FGFR1,DACTOLISIB; Dasatinib; GEDATOLISIB; NINTEDANIB; NINTEDANIB ESYLATE; PAZOPANIB; PAZOPANIB HYDROCHLORIDE; REGORAFENIB; Rapamycin,Yes
